Location                    Item                                                      Kind    Prod  Doc  Cog
src/compaction.rs:268       material                                                  fn        70    0   22
src/compaction.rs:339       summary_request_fits                                      fn        12    0    0
src/compaction.rs:352       next_piece                                                fn        45    0   20
src/compaction.rs:398       compact                                                   fn        53    1   13
src/hooks.rs:24             Hooks                                                     struct     8    2    0
src/hooks.rs:35             HookCommand                                               struct     5    1    0
src/hooks.rs:39             impl Hooks                                                impl      25    0    4
src/hooks.rs:40               command                                                 fn         9    0    1
src/hooks.rs:50               validate                                                fn        14    0    3
src/hooks.rs:66             IN_HOOK_ENV                                               const      1    0    0
src/hooks.rs:68             STDOUT_LIMIT                                              const      1    0    0
src/hooks.rs:69             STDERR_LIMIT                                              const      1    0    0
src/hooks.rs:71             GRACE                                                     const      1    1    0
src/hooks.rs:73             deadline                                                  fn         9    0    1
src/hooks.rs:86             HookSource                                                struct     6    3    0
src/hooks.rs:96             Context                                                   struct    11    3    0
src/hooks.rs:111            Event                                                     enum      19    1    0
src/hooks.rs:129            impl Event                                                impl      11    0    1
src/hooks.rs:130              kind                                                    fn         9    0    1
src/hooks.rs:143            ToolReport                                                struct     8    2    0
src/hooks.rs:152            impl ToolReport                                           impl      16    0    1
src/hooks.rs:153              new                                                     fn        14    0    1
src/hooks.rs:172            AfterRunOutcome                                           enum       9    1    0
src/hooks.rs:181            Input                                                     struct     8    0    0
src/hooks.rs:190            Output                                                    trait      3    2    0
src/hooks.rs:192              message                                                 fn         1    1    0
src/hooks.rs:198            Feedback                                                  struct     6    1    0
src/hooks.rs:203            deserialize_present_string                                fn         6    0    0
src/hooks.rs:210            impl Output for Feedback                                  impl       5    0    0
src/hooks.rs:211              message                                                 fn         3    0    0
src/hooks.rs:219            ToolDecision                                              enum       8    2    0
src/hooks.rs:227            impl Output for ToolDecision                              impl       8    0    1
src/hooks.rs:228              message                                                 fn         6    0    1
src/hooks.rs:239            StopResponse                                              struct     6    1    0
src/hooks.rs:244            impl Output for StopResponse                              impl       5    0    0
src/hooks.rs:245              message                                                 fn         3    0    0
src/hooks.rs:253            Report                                                    struct     3    1    0
src/hooks.rs:255            impl Output for Report                                    impl       5    0    0
src/hooks.rs:256              message                                                 fn         3    0    0
src/hooks.rs:265            run                                                       fn        85    4    7
src/hooks.rs:351            parse                                                     fn        24    0    2
src/main.rs:1               acp                                                       mod        1    0    0
src/main.rs:2               auth                                                      mod        1    0    0
src/main.rs:3               cancellation                                              mod        1    0    0
src/main.rs:4               compaction                                                mod        1    0    0
src/main.rs:5               hooks                                                     mod        1    0    0
src/main.rs:6               openrouter                                                mod        1    0    0
src/main.rs:7               process                                                   mod        1    0    0
src/main.rs:8               sessions                                                  mod        1    0    0
src/main.rs:9               settings                                                  mod        1    0    0
src/main.rs:10              skills                                                    mod        1    0    0
src/main.rs:11              system_prompt                                             mod        1    0    0
src/main.rs:12              text_file                                                 mod        1    0    0
src/main.rs:13              tools                                                     mod        1    0    0
src/main.rs:25              USAGE                                                     const      3    0    0
src/main.rs:29              Command                                                   enum      12    0    0
src/main.rs:42              command                                                   fn        11    0    4
src/main.rs:54              run_command                                               fn        34    0    7
src/main.rs:90              resolve_model                                             fn        16    1    2
src/main.rs:108             check_effort                                              fn        17    1    1
src/main.rs:126             usage_error                                               fn         3    0    0
src/main.rs:130             invalid_input                                             fn         3    0    0
src/main.rs:134             print_help                                                fn         3    0    0
src/main.rs:138             absolute_dir                                              fn         9    0    1
src/main.rs:149             load_settings_and_catalog                                 fn        11    1    0
src/main.rs:162             main                                                      fn        10    0    1
src/main.rs:172             run                                                       fn        50    0    8
src/openrouter.rs:21        CatalogModel                                              struct     7    1    0
src/openrouter.rs:29        impl CatalogModel                                         impl      12    1    0
src/openrouter.rs:30          supports                                                fn         3    0    0
src/openrouter.rs:35          summarizer_effort                                       fn         7    1    0
src/openrouter.rs:46        OpenRouterModel                                           struct    11    2    0
src/openrouter.rs:59        Architecture                                              struct     5    0    0
src/openrouter.rs:65        Reasoning                                                 struct     5    0    0
src/openrouter.rs:71        ModelsResponse                                            struct     4    0    0
src/openrouter.rs:83        RECENT_SECONDS                                            const      1    8    0
src/openrouter.rs:85        parse_catalog                                             fn        45    0    3
src/openrouter.rs:132       fetch_catalog                                             fn        18    1    1
src/openrouter.rs:151       Catalog                                                   struct     4    0    0
src/openrouter.rs:156       CATALOG                                                   static     1    0    0
src/openrouter.rs:159       install_catalog                                           fn        18    1    2
src/openrouter.rs:178       installed                                                 fn         8    0    0
src/openrouter.rs:187       catalog                                                   fn         3    0    0
src/openrouter.rs:192       default_model                                             fn         3    1    0
src/openrouter.rs:196       ENDPOINT                                                  const      1    0    0
src/openrouter.rs:198       catalog_model                                             fn         3    0    0
src/openrouter.rs:204       Client                                                    struct     6    1    0
src/openrouter.rs:211       StreamItem                                                enum       6    0    0
src/openrouter.rs:218       Completion                                                struct     5    0    0
src/openrouter.rs:224       Stop                                                      enum       7    0    0
src/openrouter.rs:232       InputContextOverflow                                      struct     2    0    0
src/openrouter.rs:234       impl std::fmt::Display for InputContextOverflow           impl       8    0    0
src/openrouter.rs:235         fmt                                                     fn         6    0    0
src/openrouter.rs:243       impl std::error::Error for InputContextOverflow           impl       1    0    0
src/openrouter.rs:245       is_input_context_overflow                                 fn         5    0    0
src/openrouter.rs:251       ordinary_body                                             fn        23    0    1
src/openrouter.rs:275       summarizer_body                                           fn        18    0    1
src/openrouter.rs:294       impl Client                                               impl      93    4   12
src/openrouter.rs:295         new                                                     fn         3    0    0
src/openrouter.rs:299         for_endpoint                                            fn         7    0    0
src/openrouter.rs:308         verify                                                  fn        19    1    1
src/openrouter.rs:330         stream_completion                                       fn        10    2    0
src/openrouter.rs:342         summarize                                               fn        23    1    7
src/openrouter.rs:366         stream_body                                             fn        29    0    4
src/openrouter.rs:397       explicit_context_overflow                                 fn        14    0    2
src/openrouter.rs:413       skill_invocation_text                                     fn         6    1    0
src/openrouter.rs:421       hook_feedback_text                                        fn         7    1    0
src/openrouter.rs:431       chat_messages                                             fn        53    2   13
src/openrouter.rs:485       transport                                                 fn         3    0    0
src/openrouter.rs:489       malformed                                                 fn         3    0    0
src/openrouter.rs:495       CompletionStream                                          struct     8    3    0
src/openrouter.rs:505       impl CompletionStream                                     impl     101    9   30
src/openrouter.rs:508         next                                                    fn        21    6   12
src/openrouter.rs:535         read_chunk                                              fn        14    1    2
src/openrouter.rs:550         line                                                    fn        14    0    6
src/openrouter.rs:565         process_sse_event                                       fn        50    2   10
src/openrouter.rs:620       Assembly                                                  struct     7    0    0
src/openrouter.rs:628       PartialCall                                               struct     6    0    0
src/openrouter.rs:634       impl Assembly                                             impl      91    2   16
src/openrouter.rs:635         tool_call                                               fn        12    0    3
src/openrouter.rs:650         reasoning_detail                                        fn        34    2   12
src/openrouter.rs:685         finish                                                  fn        43    0    1
src/openrouter.rs:731       Chunk                                                     struct     7    0    0
src/openrouter.rs:739       ApiUsage                                                  struct     6    0    0
src/openrouter.rs:746       Choice                                                    struct     6    0    0
src/openrouter.rs:753       Delta                                                     struct     7    0    0
src/openrouter.rs:761       ToolCallDelta                                             struct     8    0    0
src/openrouter.rs:770       FunctionDelta                                             struct     5    0    0
src/openrouter.rs:776       ApiError                                                  struct     7    0    0
src/process.rs:18           OUTPUT_DRAIN_TIMEOUT                                      const      1    0    0
src/process.rs:19           GROUP_POLL_INTERVAL                                       const      1    0    0
src/process.rs:22           Capture                                                   struct     7    2    0
src/process.rs:31           impl Capture                                              impl      38    1    4
src/process.rs:32             new                                                     fn         9    0    1
src/process.rs:42             read                                                    fn        18    1    2
src/process.rs:62             drain                                                   fn         6    0    1
src/process.rs:69             decode                                                  fn         3    0    0
src/process.rs:74           Observed                                                  enum       6    0    0
src/process.rs:81           Limits                                                    struct     6    2    0
src/process.rs:91           Finished                                                  struct     6    2    0
src/process.rs:101          kill_group                                                fn         6    2    1
src/process.rs:110          ProcessGroup                                              struct     1    2    0
src/process.rs:112          impl ProcessGroup                                         impl      21    2    8
src/process.rs:113            terminate                                               fn        19    2    8
src/process.rs:136          impl Drop for ProcessGroup                                impl       7    0    1
src/process.rs:137            drop                                                    fn         5    0    1
src/process.rs:149          run                                                       fn        92    8   16
src/sessions.rs:21          DATA_DIR_ENV                                              const      1    1    0
src/sessions.rs:23          DATABASE_FILE                                             const      1    0    0
src/sessions.rs:26          MAX_SESSION_TITLE_CHARS                                   const      1    1    0
src/sessions.rs:28          SCHEMA                                                    const     21    0    0
src/sessions.rs:64          TranscriptEntry                                           enum      12    8    0
src/sessions.rs:80          SkillInvocation                                           struct     7    2    0
src/sessions.rs:86          impl SkillInvocation                                      impl       9    1    2
src/sessions.rs:88            command_text                                            fn         7    1    2
src/sessions.rs:99          HookKind                                                  enum       8    1    0
src/sessions.rs:107         impl HookKind                                             impl      18    0    1
src/sessions.rs:116           id                                                      fn         9    0    1
src/sessions.rs:128         hook_label                                                fn         7    1    1
src/sessions.rs:139         HookFeedback                                              struct     6    1    0
src/sessions.rs:147         HookFeedbackContent                                       enum      10    4    0
src/sessions.rs:159         impl HookFeedback                                         impl      19    0    2
src/sessions.rs:160           label                                                   fn         3    0    0
src/sessions.rs:164           kind                                                    fn         7    0    1
src/sessions.rs:172           message                                                 fn         7    0    1
src/sessions.rs:186         StopDecision                                              enum       6    3    0
src/sessions.rs:193         CompactionCheckpoint                                      struct     7    3    0
src/sessions.rs:205         SessionMode                                               enum       6    1    0
src/sessions.rs:210         impl SessionMode                                          impl      24    0    3
src/sessions.rs:213           id                                                      fn         6    0    1
src/sessions.rs:220           name                                                    fn         6    0    1
src/sessions.rs:227           description                                             fn         6    0    1
src/sessions.rs:234           from_id                                                 fn         3    0    0
src/sessions.rs:244         EffortLevel                                               enum      13    3    0
src/sessions.rs:256         impl EffortLevel                                          impl      42    1    2
src/sessions.rs:268           id                                                      fn        12    0    1
src/sessions.rs:281           name                                                    fn        12    0    1
src/sessions.rs:294           from_id                                                 fn         3    0    0
src/sessions.rs:299           openrouter_effort                                       fn         3    1    0
src/sessions.rs:305         SessionSettings                                           struct     6    0    0
src/sessions.rs:311         impl SessionSettings                                      impl      13    0    0
src/sessions.rs:312           new                                                     fn         7    0    0
src/sessions.rs:320           with_mode                                               fn         4    0    0
src/sessions.rs:327         SessionSettingsChange                                     struct     6    0    0
src/sessions.rs:337         AssistantMessage                                          struct     9    5    0
src/sessions.rs:353         ModelUsage                                                struct     7    3    0
src/sessions.rs:359         impl AssistantMessage                                     impl      27    2    7
src/sessions.rs:362           validate                                                fn        25    2    7
src/sessions.rs:393         ToolCall                                                  struct     7    2    0
src/sessions.rs:401         ToolResult                                                struct     7    0    0
src/sessions.rs:410         ToolOutcome                                               enum       7    1    0
src/sessions.rs:416         impl ToolOutcome                                          impl       7    0    1
src/sessions.rs:417           text                                                    fn         5    0    1
src/sessions.rs:427         AssistantBatch                                            struct     5    2    0
src/sessions.rs:432         impl AssistantBatch                                       impl       7    0    0
src/sessions.rs:433           new                                                     fn         5    0    0
src/sessions.rs:440         pair_results                                              fn        32    0    4
src/sessions.rs:473         validate_transcript                                       fn       132    1   33
src/sessions.rs:608         SessionSummary                                            struct     8    0    0
src/sessions.rs:618         session_cost                                              fn        12    2    2
src/sessions.rs:632         StoredSession                                             struct     5    0    0
src/sessions.rs:637         impl StoredSession                                        impl      19    2    3
src/sessions.rs:640           saved_settings                                          fn        17    2    3
src/sessions.rs:661         SessionStore                                              struct     2    1    0
src/sessions.rs:663         impl SessionStore                                         impl     199   14   11
src/sessions.rs:664           open                                                    fn         7    0    2
src/sessions.rs:672           initialize                                              fn         7    0    0
src/sessions.rs:681           in_memory                                               fn         5    0    0
src/sessions.rs:687           with_connection                                         fn         4    0    0
src/sessions.rs:691           lock                                                    fn         3    0    1
src/sessions.rs:697           create                                                  fn        19    2    0
src/sessions.rs:719           read                                                    fn        32    2    1
src/sessions.rs:753           list                                                    fn        17    1    0
src/sessions.rs:774           append_turn_start                                       fn        41    3    5
src/sessions.rs:818           append_batch                                            fn        11    2    1
src/sessions.rs:831           append_hook_feedback                                    fn         8    1    0
src/sessions.rs:842           append_checkpoint                                       fn        34    2    1
src/sessions.rs:878           delete                                                  fn         9    1    0
src/sessions.rs:890         validate_workspace_path                                   fn        12    1    1
src/sessions.rs:903         summary                                                   fn        12    0    0
src/sessions.rs:916         summary_row                                               fn         9    0    0
src/sessions.rs:928         update_activity_and_adopt_session_title                   fn        20    2    1
src/sessions.rs:949         insert_entry                                              fn        16    0    0
src/sessions.rs:966         decode_entry                                              fn        18    0    1
src/sessions.rs:985         decode                                                    fn         3    0    0
src/sessions.rs:989         invalid_data                                              fn         3    0    0
src/sessions.rs:993         now                                                       fn         3    0    1
src/sessions.rs:1001        session_title_from_prompt                                 fn         8    4    1
src/sessions.rs:1010        database_path                                             fn        17    0    4
src/settings.rs:17          Settings                                                  struct     6    0    0
src/settings.rs:22          Loaded                                                    struct     5    0    0
src/settings.rs:28          load                                                      fn         9    2    1
src/settings.rs:40          load_from                                                 fn        33    0    4
src/skills.rs:14            SKILLS_DIR                                                const      1    0    0
src/skills.rs:15            FILE_NAME                                                 const      1    0    0
src/skills.rs:20            Skill                                                     struct     9    3    0
src/skills.rs:32            Frontmatter                                               struct     8    1    0
src/skills.rs:43            load                                                      fn        32    3    4
src/skills.rs:76            parse                                                     fn        40    0    7
src/skills.rs:118           split_frontmatter                                         fn        15    1    3
src/skills.rs:134           invalid                                                   fn         3    0    0
src/system_prompt.rs:11     FILE_NAME                                                 const      1    0    0
src/system_prompt.rs:12     BUILT_IN_PROMPT                                           const      1    0    0
src/system_prompt.rs:16     for_workspace                                             fn         9    2    1
src/system_prompt.rs:29     read_workspace                                            fn        11    3    1
src/text_file.rs:10         MAX_BYTES                                                 const      1    0    0
src/text_file.rs:13         read_bounded                                              fn        13    1    1
src/tools/patch.rs:10       Patch                                                     struct     1    0    0
src/tools/patch.rs:12       FileOperation                                             struct     4    0    0
src/tools/patch.rs:17       Operation                                                 enum       8    0    0
src/tools/patch.rs:26       Chunk                                                     struct     5    0    0
src/tools/patch.rs:32       impl Patch                                                impl     103    0   51
src/tools/patch.rs:33         parse                                                   fn       101    0   51
src/tools/patch.rs:136      update                                                    fn        37    0   14
src/tools/patch.rs:176      workspace_path_rejecting_links                            fn        32    2   10
src/tools/patch.rs:209      target                                                    fn        14    0    1
src/tools/patch.rs:224      require_absent                                            fn         7    0    1
src/tools/patch.rs:232      Prepared                                                  struct     4    0    0
src/tools/patch.rs:237      Change                                                    enum      14    0    0
src/tools/patch.rs:252      prepare                                                   fn        80    0   18
src/tools/patch.rs:333      impl Change                                               impl      25    0    4
src/tools/patch.rs:334        apply                                                   fn        23    0    4
src/tools/patch.rs:359      apply_prepared                                            fn        32    0    4
src/tools/patch.rs:394      changed_paths                                             fn         6    2    1
src/tools/patch.rs:401      apply                                                     fn         6    0    0
src/tools/read.rs:10        Args                                                      struct     9    0    0
src/tools/read.rs:18        default_offset                                            fn         3    0    0
src/tools/read.rs:21        default_limit                                             fn         3    0    0
src/tools/read.rs:25        execute                                                   fn        66    0   24
src/tools/read.rs:94        line                                                      fn        61    2   18
src/tools/search.rs:19      GlobArgs                                                  struct     7    0    0
src/tools/search.rs:27      GrepArgs                                                  struct     8    0    0
src/tools/search.rs:34      default_path                                              fn         3    0    0
src/tools/search.rs:38      execute                                                   fn        38    2    8
src/tools/search.rs:80      NOTICE_LIMIT                                              const      1    1    0
src/tools/search.rs:81      MATCH_LIMIT                                               const      1    0    0
src/tools/search.rs:82      DIAGNOSTICS_LIMIT                                         const      1    0    0
src/tools/search.rs:84      run                                                       fn        85    2   36
src/tools/search.rs:172     append_match                                              fn         9    0    2
src/tools/search.rs:182     scan_file                                                 fn        26    0   11
src/tools/search.rs:210     drain_errors                                              fn        12    1    3
src/tools/shell.rs:12       OUTPUT_BODY_LIMIT                                         const      1    0    0
src/tools/shell.rs:16       Args                                                      struct     7    0    0
src/tools/shell.rs:22       default_timeout                                           fn         3    0    0
src/tools/shell.rs:26       execute                                                   fn        39    0    3
src/tools/shell.rs:66       failure                                                   fn         8    0    0
